COUNTYNAME,TOWNNAME,Elderly65,Institutions,Beds,BedsPer1000
連江縣,東引鄉,175,0,0,0.0
連江縣,莒光鄉,294,0,0,0.0
金門縣,烈嶼鄉,2594,0,0,0.0
金門縣,烏坵鄉,81,0,0,0.0
金門縣,金城鎮,8349,1,120,14.4
金門縣,金寧鄉,5373,0,0,0.0
金門縣,金沙鎮,4372,0,0,0.0
金門縣,金湖鎮,5437,1,175,32.2
雲林縣,二崙鄉,6248,2,84,13.4
雲林縣,元長鄉,6408,3,128,20.0
雲林縣,北港鎮,8267,5,227,27.5
雲林縣,口湖鄉,5652,0,0,0.0
雲林縣,古坑鄉,7077,5,205,29.0
雲林縣,四湖鄉,5223,0,0,0.0
雲林縣,土庫鎮,6069,1,49,8.1
雲林縣,大埤鄉,4143,1,49,11.8
雲林縣,崙背鄉,5536,2,69,12.5
雲林縣,斗六市,19404,3,121,6.2
雲林縣,斗南鎮,9096,9,468,51.5
雲林縣,東勢鄉,3490,0,0,0.0
雲林縣,林內鄉,3670,2,248,67.6
雲林縣,水林鄉,6241,0,0,0.0
雲林縣,臺西鄉,4931,0,0,0.0
雲林縣,莿桐鄉,5887,0,0,0.0
雲林縣,虎尾鎮,12715,7,321,25.2
雲林縣,褒忠鄉,2874,1,49,17.0
雲林縣,西螺鎮,9005,1,45,5.0
雲林縣,麥寮鄉,6993,0,0,0.0
高雄市,三民區,69177,22,929,13.4
高雄市,仁武區,15128,7,340,22.5
高雄市,內門區,3449,1,180,52.2
高雄市,六龜區,3097,1,156,50.4
高雄市,前金區,7494,4,192,25.6
高雄市,前鎮區,39071,12,527,13.5
高雄市,大寮區,20660,7,742,35.9
高雄市,大樹區,8670,3,140,16.1
高雄市,大社區,6654,1,48,7.2
高雄市,小港區,27433,7,319,11.6
高雄市,岡山區,17878,1,49,2.7
高雄市,左營區,32423,16,678,20.9
高雄市,彌陀區,3620,0,0,0.0
高雄市,新興區,13108,0,0,0.0
高雄市,旗山區,8680,2,121,13.9
高雄市,旗津區,5381,0,0,0.0
高雄市,杉林區,2984,0,0,0.0
高雄市,林園區,12348,2,92,7.5
高雄市,桃源區,478,0,0,0.0
高雄市,梓官區,6838,1,49,7.2
高雄市,楠梓區,30474,10,461,15.1
高雄市,橋頭區,8369,4,170,20.3
高雄市,永安區,2511,0,0,0.0
高雄市,湖內區,5592,3,135,24.1
高雄市,燕巢區,6244,3,568,91.0
高雄市,田寮區,2044,0,0,0.0
高雄市,甲仙區,1475,0,0,0.0
高雄市,美濃區,11073,7,382,34.5
高雄市,苓雅區,40647,6,315,7.7
高雄市,茂林區,214,0,0,0.0
高雄市,茄萣區,6029,0,0,0.0
高雄市,路竹區,10078,3,294,29.2
高雄市,那瑪夏區,341,0,0,0.0
高雄市,阿蓮區,5502,1,132,24.0
高雄市,鳥松區,10058,6,268,26.6
高雄市,鳳山區,66047,13,496,7.5
高雄市,鹽埕區,6354,0,0,0.0
高雄市,鼓山區,26644,12,500,18.8
